
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
-1.9596 -1.90361  91.2324 i
-1.91919 -1.90361  86.5556 i
-1.87879 -1.90361  82.0936 i
-1.83838 -1.90361  77.8388 i
-1.79798 -1.90361  73.7838 i
-1.75758 -1.90361  69.9215 i
-1.71717 -1.90361  66.2449 i
-1.67677 -1.90361  62.747 i
-1.63636 -1.90361  59.4212 i
-1.59596 -1.90361  56.2609 i
-1.55556 -1.90361  53.2596 i
-1.51515 -1.90361  50.4113 i
-1.47475 -1.90361  47.7097 i
-1.43434 -1.90361  45.149 i
-1.39394 -1.90361  42.7233 i
-1.35354 -1.90361  40.4272 i
-1.31313 -1.90361  38.2552 i
-1.27273 -1.90361  36.202 i
-1.23232 -1.90361  34.2625 i
-1.19192 -1.90361  32.4317 i
-1.15152 -1.90361  30.7048 i
-1.11111 -1.90361  29.0773 i
-1.07071 -1.90361  27.5445 i
-1.0303 -1.90361  26.1023 i
-0.989899 -1.90361  24.7463 i
-0.949495 -1.90361  23.4728 i
-0.909091 -1.90361  22.2777 i
-0.868687 -1.90361  21.1575 i
-0.828283 -1.90361  20.1086 i
-0.787879 -1.90361  19.1276 i
-0.747475 -1.90361  18.2114 i
-0.707071 -1.90361  17.3569 i
-0.666667 -1.90361  16.5612 i
-0.626263 -1.90361  15.8217 i
-0.585859 -1.90361  15.1357 i
-0.545455 -1.90361  14.5009 i
-0.505051 -1.90361  13.915 i
-0.464646 -1.90361  13.376 i
-0.424242 -1.90361  12.8819 i
-0.383838 -1.90361  12.431 i
-0.343434 -1.90361  12.0216 i
-0.30303 -1.90361  11.6524 i
-0.262626 -1.90361  11.322 i
-0.222222 -1.90361  11.0293 i
-0.181818 -1.90361  10.7734 i
-0.141414 -1.90361  10.5535 i
-0.10101 -1.90361  10.369 i
-0.0606061 -1.90361  10.2192 i
-0.020202 -1.90361  10.1041 i
 0.020202 -1.90361  10.0233 i
 0.0606061 -1.90361  9.97683 i
 0.10101 -1.90361  9.96493 i
 0.141414 -1.90361  9.98788 i
 0.181818 -1.90361  10.0462 i
